Date,Description,Debit,Credit,Sub-category,Category,Category Type,MonthName,Month Number,Week Day,Net Amount
44221,Orphanage,55,,Donation,Charity,Expense,Jan,1,Mon,-55
44221,Fuel,63,,Fueling,Transport,Expense,Jan,1,Mon,-63
44221,Drink,5,,Coffee,Dining Out,Expense,Jan,1,Mon,-5
44222,Drink,5,,Coffee,Dining Out,Expense,Jan,1,Tue,-5
44223,Drink,5,,Coffee,Dining Out,Expense,Jan,1,Wed,-5
44224,Drink,5,,Coffee,Dining Out,Expense,Jan,1,Thu,-5
44225,Drink,5,,Coffee,Dining Out,Expense,Jan,1,Fri,-5
44225,Green's,162,,Groceries,Living Expenses,Expense,Jan,1,Fri,-162
44226,Trainers,125,,Clothes,Discretionary,Expense,Jan,1,Sat,-125
44226,Hangingout/Ticket,175,,Entertainment,Discretionary,Expense,Jan,1,Sat,-175
44227,Fashionistas,145,,Clothes,Discretionary,Expense,Jan,1,Sun,-145
44227,Uba,23,,Taxi,Transport,Expense,Jan,1,Sun,-23
44228,Data With Decision,,5000,Data with Decision,Salary,Income,Feb,2,Mon,5000
44228,Drink,5,,Coffee,Dining Out,Expense,Feb,2,Mon,-5
44229,Estate Mangement,900,,Rent,Living Expenses,Expense,Feb,2,Tue,-900
44229,Financail upgrade,150,,Cash loan,Transport,Expense,Feb,2,Tue,-150
44229,Drink,5,,Coffee,Dining Out,Expense,Feb,2,Tue,-5
44230,Drink,5,,Coffee,Dining Out,Expense,Feb,2,Wed,-5
44231,Drink,5,,Coffee,Dining Out,Expense,Feb,2,Thu,-5
44232,Drink,5,,Coffee,Dining Out,Expense,Feb,2,Fri,-5
44232,Green's,205,,Groceries,Living Expenses,Expense,Feb,2,Fri,-205
44235,Power source,51.1,,Gas/Electrics,Living Expenses,Expense,Feb,2,Mon,-51.1
44235,Drink,5,,Coffee,Dining Out,Expense,Feb,2,Mon,-5
44236,Drink,5,,Coffee,Dining Out,Expense,Feb,2,Tue,-5
44237,Fuel,78,,Fueling,Transport,Expense,Feb,2,Wed,-78
44237,Drink,5,,Coffee,Dining Out,Expense,Feb,2,Wed,-5
44238,Drink,5,,Coffee,Dining Out,Expense,Feb,2,Thu,-5
44239,Green's,135.9,,Groceries,Living Expenses,Expense,Feb,2,Fri,-135.9
44239,Drink,5,,Coffee,Dining Out,Expense,Feb,2,Fri,-5
44240,Drink,5,,Coffee,Dining Out,Expense,Feb,2,Sat,-5
44240,Cinemas,40.9,,Entertainment,Discretionary,Expense,Feb,2,Sat,-40.9
44240,Fashionistas,99,,Clothes,Discretionary,Expense,Feb,2,Sat,-99
44240,Burger,53,,Restaurant,Dining Out,Expense,Feb,2,Sat,-53
44241,Uba,28.9,,Taxi,Transport,Expense,Feb,2,Sun,-28.9
44242,Onlne earning,,800,YouTube,Passive,Income,Feb,2,Mon,800
44242,Drink,5,,Coffee,Dining Out,Expense,Feb,2,Mon,-5
44243,Drink,5,,Coffee,Dining Out,Expense,Feb,2,Tue,-5
44243,Phone,40,,Phone,Living Expenses,Expense,Feb,2,Tue,-40
44244,Sallah give away,45.9,,Gifts,Discretionary,Expense,Feb,2,Wed,-45.9
44244,Online streaming,35,,Entertainment,Discretionary,Expense,Feb,2,Wed,-35
44244,Drink,5,,Coffee,Dining Out,Expense,Feb,2,Wed,-5
44245,Drink,5,,Coffee,Dining Out,Expense,Feb,2,Thu,-5
44246,Drink,5,,Coffee,Dining Out,Expense,Feb,2,Fri,-5
44246,Green's,171,,Groceries,Living Expenses,Expense,Feb,2,Fri,-171
44247,Suya,37.9,,Restaurant,Dining Out,Expense,Feb,2,Sat,-37.9
44248,Oha soup/White soup,12.9,,Restaurant,Dining Out,Expense,Feb,2,Sun,-12.9
44249,Orphanage,55,,Donation,Charity,Expense,Feb,2,Mon,-55
44249,Fuel,64.1,,Fueling,Transport,Expense,Feb,2,Mon,-64.1
44249,Drink,5,,Coffee,Dining Out,Expense,Feb,2,Mon,-5
44250,Drink,5,,Coffee,Dining Out,Expense,Feb,2,Tue,-5
44251,Drink,5,,Coffee,Dining Out,Expense,Feb,2,Wed,-5
44252,Drink,5,,Coffee,Dining Out,Expense,Feb,2,Thu,-5
44253,Drink,5,,Coffee,Dining Out,Expense,Feb,2,Fri,-5
44253,Green's,162.9,,Groceries,Living Expenses,Expense,Feb,2,Fri,-162.9
44254,Trainers,125.9,,Clothes,Discretionary,Expense,Feb,2,Sat,-125.9
44254,Global Fashion,137,,Clothes,Discretionary,Expense,Feb,2,Sat,-137
44255,Fashionistas,146.1,,Clothes,Discretionary,Expense,Feb,2,Sun,-146.1
44255,Uba,24.1,,Taxi,Transport,Expense,Feb,2,Sun,-24.1
44256,Data With Decision,,5000,Data with Decision,Salary,Income,Mar,3,Mon,5000
44256,Drink,5,,Coffee,Dining Out,Expense,Mar,3,Mon,-5
44257,Estate Mangement,900,,Rent,Living Expenses,Expense,Mar,3,Tue,-900
44257,Financail upgrade,150,,Cash loan,Transport,Expense,Mar,3,Tue,-150
44257,Drink,5,,Coffee,Dining Out,Expense,Mar,3,Tue,-5
44258,Drink,5,,Coffee,Dining Out,Expense,Mar,3,Wed,-5
44259,Drink,5,,Coffee,Dining Out,Expense,Mar,3,Thu,-5
44260,Drink,5,,Coffee,Dining Out,Expense,Mar,3,Fri,-5
44260,Green's,149,,Groceries,Living Expenses,Expense,Mar,3,Fri,-149
44263,Power source,52.1,,Gas/Electrics,Living Expenses,Expense,Mar,3,Mon,-52.1
44263,Drink,5,,Coffee,Dining Out,Expense,Mar,3,Mon,-5
44264,Drink,5,,Coffee,Dining Out,Expense,Mar,3,Tue,-5
44265,Fuel,78.9,,Fueling,Transport,Expense,Mar,3,Wed,-78.9
44265,Drink,5,,Coffee,Dining Out,Expense,Mar,3,Wed,-5
44266,Drink,5,,Coffee,Dining Out,Expense,Mar,3,Thu,-5
44267,Green's,137,,Groceries,Living Expenses,Expense,Mar,3,Fri,-137
44267,Drink,5,,Coffee,Dining Out,Expense,Mar,3,Fri,-5
44268,Drink,5,,Coffee,Dining Out,Expense,Mar,3,Sat,-5
44268,Cinemas,41.8,,Entertainment,Discretionary,Expense,Mar,3,Sat,-41.8
44268,Fashionistas,99.9,,Clothes,Discretionary,Expense,Mar,3,Sat,-99.9
44268,Burger,54,,Restaurant,Dining Out,Expense,Mar,3,Sat,-54
44269,Uba,30,,Taxi,Transport,Expense,Mar,3,Sun,-30
44270,Onlne earning,,1000,YouTube,Passive,Income,Mar,3,Mon,1000
44270,Drink,5,,Coffee,Dining Out,Expense,Mar,3,Mon,-5
44271,Drink,5,,Coffee,Dining Out,Expense,Mar,3,Tue,-5
44271,Taken medication,75,,Doctor,Medical,Expense,Mar,3,Tue,-75
44271,Phone,40,,Phone,Living Expenses,Expense,Mar,3,Tue,-40
44272,Sallah give away,46.8,,Gifts,Discretionary,Expense,Mar,3,Wed,-46.8
44272,Online streaming,35,,Entertainment,Discretionary,Expense,Mar,3,Wed,-35
44272,Drink,5,,Coffee,Dining Out,Expense,Mar,3,Wed,-5
44273,Drink,5,,Coffee,Dining Out,Expense,Mar,3,Thu,-5
44274,Drink,5,,Coffee,Dining Out,Expense,Mar,3,Fri,-5
44274,Green's,171.9,,Groceries,Living Expenses,Expense,Mar,3,Fri,-171.9
44275,Suya,39,,Restaurant,Dining Out,Expense,Mar,3,Sat,-39
44276,Oha soup/White soup,14,,Restaurant,Dining Out,Expense,Mar,3,Sun,-14
44277,Orphanage,55,,Donation,Charity,Expense,Mar,3,Mon,-55
44277,Fuel,65,,Fueling,Transport,Expense,Mar,3,Mon,-65
44277,Drink,5,,Coffee,Dining Out,Expense,Mar,3,Mon,-5
44278,Drink,5,,Coffee,Dining Out,Expense,Mar,3,Tue,-5
44279,Drink,5,,Coffee,Dining Out,Expense,Mar,3,Wed,-5
44280,Drink,5,,Coffee,Dining Out,Expense,Mar,3,Thu,-5
44281,Drink,5,,Coffee,Dining Out,Expense,Mar,3,Fri,-5
44281,Green's,209,,Groceries,Living Expenses,Expense,Mar,3,Fri,-209
44282,Trainers,127,,Clothes,Discretionary,Expense,Mar,3,Sat,-127
44282,Sport ware,177.2,,Clothes,Discretionary,Expense,Mar,3,Sat,-177.2
44283,Fashionistas,147.1,,Clothes,Discretionary,Expense,Mar,3,Sun,-147.1
44283,Uba,25,,Taxi,Transport,Expense,Mar,3,Sun,-25
44284,Foodary,15,,Restaurant,Dining Out,Expense,Mar,3,Mon,-15
44285,Drink,5,,Coffee,Dining Out,Expense,Mar,3,Tue,-5
44286,Drink,5,,Coffee,Dining Out,Expense,Mar,3,Wed,-5
44287,Data With Decision,,5000,Data with Decision,Salary,Income,Apr,4,Thu,5000
44287,Drink,5,,Coffee,Dining Out,Expense,Apr,4,Thu,-5
44288,Estate Mangement,900,,Rent,Living Expenses,Expense,Apr,4,Fri,-900
44288,Financail upgrade,150,,Cash loan,Transport,Expense,Apr,4,Fri,-150
44288,Drink,5,,Coffee,Dining Out,Expense,Apr,4,Fri,-5
44289,Drink,5,,Coffee,Dining Out,Expense,Apr,4,Sat,-5
44290,Drink,5,,Coffee,Dining Out,Expense,Apr,4,Sun,-5
44291,Drink,5,,Coffee,Dining Out,Expense,Apr,4,Mon,-5
44291,Green's,158.2,,Groceries,Living Expenses,Expense,Apr,4,Mon,-158.2
44294,Power source,53.2,,Gas/Electrics,Living Expenses,Expense,Apr,4,Thu,-53.2
44294,Drink,5,,Coffee,Dining Out,Expense,Apr,4,Thu,-5
44295,Drink,5,,Coffee,Dining Out,Expense,Apr,4,Fri,-5
44296,Fuel,79.9,,Fueling,Transport,Expense,Apr,4,Sat,-79.9
44296,Drink,5,,Coffee,Dining Out,Expense,Apr,4,Sat,-5
44297,Drink,5,,Coffee,Dining Out,Expense,Apr,4,Sun,-5
44298,Green's,98,,Groceries,Living Expenses,Expense,Apr,4,Mon,-98
44298,Drink,5,,Coffee,Dining Out,Expense,Apr,4,Mon,-5
44299,Drink,5,,Coffee,Dining Out,Expense,Apr,4,Tue,-5
44299,Cinemas,42.8,,Entertainment,Discretionary,Expense,Apr,4,Tue,-42.8
44299,Fashionistas,100.9,,Clothes,Discretionary,Expense,Apr,4,Tue,-100.9
44299,Burger,54.9,,Restaurant,Dining Out,Expense,Apr,4,Tue,-54.9
44300,Uba,31,,Taxi,Transport,Expense,Apr,4,Wed,-31
44301,Onlne earning,,2340,YouTube,Passive,Income,Apr,4,Thu,2340
44301,Drink,5,,Coffee,Dining Out,Expense,Apr,4,Thu,-5
44302,Drink,5,,Coffee,Dining Out,Expense,Apr,4,Fri,-5
44302,Phone,40,,Phone,Living Expenses,Expense,Apr,4,Fri,-40
44303,Sallah give away,47.9,,Gifts,Discretionary,Expense,Apr,4,Sat,-47.9
44303,Online streaming,35,,Entertainment,Discretionary,Expense,Apr,4,Sat,-35
44303,Drink,5,,Coffee,Dining Out,Expense,Apr,4,Sat,-5
44304,Drink,5,,Coffee,Dining Out,Expense,Apr,4,Sun,-5
44305,Drink,5,,Coffee,Dining Out,Expense,Apr,4,Mon,-5
44305,Green's,173,,Groceries,Living Expenses,Expense,Apr,4,Mon,-173
44306,Suya,40.1,,Restaurant,Dining Out,Expense,Apr,4,Tue,-40.1
44307,Oha soup/White soup,15.1,,Restaurant,Dining Out,Expense,Apr,4,Wed,-15.1
44308,Orphanage,55,,Donation,Charity,Expense,Apr,4,Thu,-55
44308,Fuel,66,,Fueling,Transport,Expense,Apr,4,Thu,-66
44308,Drink,5,,Coffee,Dining Out,Expense,Apr,4,Thu,-5
44309,Drink,5,,Coffee,Dining Out,Expense,Apr,4,Fri,-5
44310,Drink,5,,Coffee,Dining Out,Expense,Apr,4,Sat,-5
44311,Drink,5,,Coffee,Dining Out,Expense,Apr,4,Sun,-5
44312,Drink,5,,Coffee,Dining Out,Expense,Apr,4,Mon,-5
44312,Green's,164.9,,Groceries,Living Expenses,Expense,Apr,4,Mon,-164.9
44313,Trainers,127.9,,Clothes,Discretionary,Expense,Apr,4,Tue,-127.9
44313,Clubing,300,,Entertainment,Discretionary,Expense,Apr,4,Tue,-300
44314,Fashionistas,148.1,,Clothes,Discretionary,Expense,Apr,4,Wed,-148.1
44314,Uba,26.1,,Taxi,Transport,Expense,Apr,4,Wed,-26.1
44315,Foodary,15,,Restaurant,Dining Out,Expense,Apr,4,Thu,-15
44315,Drink,5,,Coffee,Dining Out,Expense,Apr,4,Thu,-5
44316,Drink,5,,Coffee,Dining Out,Expense,Apr,4,Fri,-5
44318,Drink,5,,Coffee,Dining Out,Expense,May,5,Sun,-5
44319,Data With Decision,,5000,Data with Decision,Salary,Income,May,5,Mon,5000
44319,Estate Mangement,900,,Rent,Living Expenses,Expense,May,5,Mon,-900
44319,Financail upgrade,150,,Cash loan,Transport,Expense,May,5,Mon,-150
44319,Drink,5,,Coffee,Dining Out,Expense,May,5,Mon,-5
44320,Drink,5,,Coffee,Dining Out,Expense,May,5,Tue,-5
44321,Drink,5,,Coffee,Dining Out,Expense,May,5,Wed,-5
44322,Drink,5,,Coffee,Dining Out,Expense,May,5,Thu,-5
44322,Green's,170,,Groceries,Living Expenses,Expense,May,5,Thu,-170
44325,Power source,54.1,,Gas/Electrics,Living Expenses,Expense,May,5,Sun,-54.1
44325,Drink,5,,Coffee,Dining Out,Expense,May,5,Sun,-5
44326,Drink,5,,Coffee,Dining Out,Expense,May,5,Mon,-5
44327,Fuel,81,,Fueling,Transport,Expense,May,5,Tue,-81
44327,Drink,5,,Coffee,Dining Out,Expense,May,5,Tue,-5
44328,Drink,5,,Coffee,Dining Out,Expense,May,5,Wed,-5
44329,Green's,139.1,,Groceries,Living Expenses,Expense,May,5,Thu,-139.1
44329,Drink,5,,Coffee,Dining Out,Expense,May,5,Thu,-5
44330,Drink,5,,Coffee,Dining Out,Expense,May,5,Fri,-5
44330,Cinemas,43.9,,Entertainment,Discretionary,Expense,May,5,Fri,-43.9
44330,Fashionistas,101.8,,Clothes,Discretionary,Expense,May,5,Fri,-101.8
44330,Burger,55.9,,Restaurant,Dining Out,Expense,May,5,Fri,-55.9
44331,Uba,32,,Taxi,Transport,Expense,May,5,Sat,-32
44332,Onlne earning,,1000,YouTube,Passive,Income,May,5,Sun,1000
44332,Drink,5,,Coffee,Dining Out,Expense,May,5,Sun,-5
44333,Drink,5,,Coffee,Dining Out,Expense,May,5,Mon,-5
44333,Taken medication,75,,Doctor,Medical,Expense,May,5,Mon,-75
44333,Phone,40,,Phone,Living Expenses,Expense,May,5,Mon,-40
44334,Sallah give away,49,,Gifts,Discretionary,Expense,May,5,Tue,-49
44334,Online streaming,35,,Entertainment,Discretionary,Expense,May,5,Tue,-35
44334,Drink,5,,Coffee,Dining Out,Expense,May,5,Tue,-5
44335,Drink,5,,Coffee,Dining Out,Expense,May,5,Wed,-5
44336,Drink,5,,Coffee,Dining Out,Expense,May,5,Thu,-5
44336,Green's,174,,Groceries,Living Expenses,Expense,May,5,Thu,-174
44337,Suya,41.1,,Restaurant,Dining Out,Expense,May,5,Fri,-41.1
44338,Oha soup/White soup,16.2,,Restaurant,Dining Out,Expense,May,5,Sat,-16.2
44339,Orphanage,55,,Donation,Charity,Expense,May,5,Sun,-55
44339,Fuel,67,,Fueling,Transport,Expense,May,5,Sun,-67
44339,Drink,5,,Coffee,Dining Out,Expense,May,5,Sun,-5
44340,Drink,5,,Coffee,Dining Out,Expense,May,5,Mon,-5
44341,Drink,5,,Coffee,Dining Out,Expense,May,5,Tue,-5
44342,Drink,5,,Coffee,Dining Out,Expense,May,5,Wed,-5
44343,Drink,5,,Coffee,Dining Out,Expense,May,5,Thu,-5
44343,Green's,165.8,,Groceries,Living Expenses,Expense,May,5,Thu,-165.8
44344,Trainers,128.8,,Clothes,Discretionary,Expense,May,5,Fri,-128.8
44344,Home décor,235,,Furnishings,Discretionary,Expense,May,5,Fri,-235
44345,Fashionistas,149.2,,Clothes,Discretionary,Expense,May,5,Sat,-149.2
44345,Uba,27.2,,Taxi,Transport,Expense,May,5,Sat,-27.2
44347,Foodary,15,,Restaurant,Dining Out,Expense,May,5,Mon,-15
44346,Drink,5,,Coffee,Dining Out,Expense,May,5,Sun,-5
44347,Drink,5,,Coffee,Dining Out,Expense,May,5,Mon,-5
44348,Data With Decision,,5000,Data with Decision,Salary,Income,Jun,6,Tue,5000
44350,Drink,5,,Coffee,Dining Out,Expense,Jun,6,Thu,-5
44350,Estate Mangement,900,,Rent,Living Expenses,Expense,Jun,6,Thu,-900
44350,Financail upgrade,150,,Cash loan,Transport,Expense,Jun,6,Thu,-150
44350,Drink,5,,Coffee,Dining Out,Expense,Jun,6,Thu,-5
44351,Drink,5,,Coffee,Dining Out,Expense,Jun,6,Fri,-5
44352,Drink,5,,Coffee,Dining Out,Expense,Jun,6,Sat,-5
44353,Drink,5,,Coffee,Dining Out,Expense,Jun,6,Sun,-5
44353,Green's,119,,Groceries,Living Expenses,Expense,Jun,6,Sun,-119
44356,Power source,55,,Gas/Electrics,Living Expenses,Expense,Jun,6,Wed,-55
44356,Drink,5,,Coffee,Dining Out,Expense,Jun,6,Wed,-5
44357,Drink,5,,Coffee,Dining Out,Expense,Jun,6,Thu,-5
44358,Fuel,82.1,,Fueling,Transport,Expense,Jun,6,Fri,-82.1
44358,Drink,5,,Coffee,Dining Out,Expense,Jun,6,Fri,-5
44359,Drink,5,,Coffee,Dining Out,Expense,Jun,6,Sat,-5
44360,Green's,140.2,,Groceries,Living Expenses,Expense,Jun,6,Sun,-140.2
44360,Drink,5,,Coffee,Dining Out,Expense,Jun,6,Sun,-5
44361,Drink,5,,Coffee,Dining Out,Expense,Jun,6,Mon,-5
44361,Cinemas,44.9,,Entertainment,Discretionary,Expense,Jun,6,Mon,-44.9
44361,Fashionistas,102.9,,Clothes,Discretionary,Expense,Jun,6,Mon,-102.9
44361,Burger,56.9,,Restaurant,Dining Out,Expense,Jun,6,Mon,-56.9
44362,Uba,33.1,,Taxi,Transport,Expense,Jun,6,Tue,-33.1
44363,Onlne earning,,100,YouTube,Passive,Income,Jun,6,Wed,100
44363,Drink,5,,Coffee,Dining Out,Expense,Jun,6,Wed,-5
44364,Drink,5,,Coffee,Dining Out,Expense,Jun,6,Thu,-5
44364,Phone,40,,Phone,Living Expenses,Expense,Jun,6,Thu,-40
44365,Sallah give away,50.1,,Gifts,Discretionary,Expense,Jun,6,Fri,-50.1
44365,Online streaming,35,,Entertainment,Discretionary,Expense,Jun,6,Fri,-35
44365,Drink,5,,Coffee,Dining Out,Expense,Jun,6,Fri,-5
44366,Drink,5,,Coffee,Dining Out,Expense,Jun,6,Sat,-5
44367,Drink,5,,Coffee,Dining Out,Expense,Jun,6,Sun,-5
44367,Green's,234,,Groceries,Living Expenses,Expense,Jun,6,Sun,-234
44368,Suya,42.1,,Restaurant,Dining Out,Expense,Jun,6,Mon,-42.1
44369,Oha soup/White soup,17.1,,Restaurant,Dining Out,Expense,Jun,6,Tue,-17.1
44370,Orphanage,55,,Donation,Charity,Expense,Jun,6,Wed,-55
44370,Fuel,67.9,,Fueling,Transport,Expense,Jun,6,Wed,-67.9
44370,Drink,5,,Coffee,Dining Out,Expense,Jun,6,Wed,-5
44371,Drink,5,,Coffee,Dining Out,Expense,Jun,6,Thu,-5
44372,Drink,5,,Coffee,Dining Out,Expense,Jun,6,Fri,-5
44373,Drink,5,,Coffee,Dining Out,Expense,Jun,6,Sat,-5
44374,Drink,5,,Coffee,Dining Out,Expense,Jun,6,Sun,-5
44374,Green's,166.9,,Groceries,Living Expenses,Expense,Jun,6,Sun,-166.9
44375,Trainers,129.9,,Clothes,Discretionary,Expense,Jun,6,Mon,-129.9
44375,Hangingout/Ticket,180.3,,Entertainment,Discretionary,Expense,Jun,6,Mon,-180.3
44376,Fashionistas,150.1,,Clothes,Discretionary,Expense,Jun,6,Tue,-150.1
44376,Uba,28.2,,Taxi,Transport,Expense,Jun,6,Tue,-28.2
44376,Foodary,15,,Restaurant,Dining Out,Expense,Jun,6,Tue,-15
44377,Drink,5,,Coffee,Dining Out,Expense,Jun,6,Wed,-5
44378,Drink,5,,Coffee,Dining Out,Expense,Jul,7,Thu,-5
44379,Data With Decision,,5000,Data with Decision,Salary,Income,Jul,7,Fri,5000
44380,Drink,5,,Coffee,Dining Out,Expense,Jul,7,Sat,-5
44382,Estate Mangement,900,,Rent,Living Expenses,Expense,Jul,7,Mon,-900
44382,Financail upgrade,150,,Cash loan,Transport,Expense,Jul,7,Mon,-150
44382,Feedings,15,,Restaurant,Dining Out,Expense,Jul,7,Mon,-15
44382,Drink,5,,Coffee,Dining Out,Expense,Jul,7,Mon,-5
44383,Drink,5,,Coffee,Dining Out,Expense,Jul,7,Tue,-5
44384,Drink,5,,Coffee,Dining Out,Expense,Jul,7,Wed,-5
44384,Green's,180,,Groceries,Living Expenses,Expense,Jul,7,Wed,-180
44387,Power source,56.1,,Gas/Electrics,Living Expenses,Expense,Jul,7,Sat,-56.1
44387,Drink,5,,Coffee,Dining Out,Expense,Jul,7,Sat,-5
44388,Drink,5,,Coffee,Dining Out,Expense,Jul,7,Sun,-5
44389,Fuel,83.1,,Fueling,Transport,Expense,Jul,7,Mon,-83.1
44389,Drink,5,,Coffee,Dining Out,Expense,Jul,7,Mon,-5
44390,Drink,5,,Coffee,Dining Out,Expense,Jul,7,Tue,-5
44391,Green's,141.1,,Groceries,Living Expenses,Expense,Jul,7,Wed,-141.1
44391,Drink,5,,Coffee,Dining Out,Expense,Jul,7,Wed,-5
44392,Drink,5,,Coffee,Dining Out,Expense,Jul,7,Thu,-5
44392,Cinemas,45.8,,Entertainment,Discretionary,Expense,Jul,7,Thu,-45.8
44392,Fashionistas,103.8,,Clothes,Discretionary,Expense,Jul,7,Thu,-103.8
44392,Burger,58,,Restaurant,Dining Out,Expense,Jul,7,Thu,-58
44393,Uba,34.2,,Taxi,Transport,Expense,Jul,7,Fri,-34.2
44394,Onlne earning,,200,YouTube,Passive,Income,Jul,7,Sat,200
44394,Drink,5,,Coffee,Dining Out,Expense,Jul,7,Sat,-5
44395,Drink,5,,Coffee,Dining Out,Expense,Jul,7,Sun,-5
44395,Phone,40,,Phone,Living Expenses,Expense,Jul,7,Sun,-40
44396,Sallah give away,51.1,,Gifts,Discretionary,Expense,Jul,7,Mon,-51.1
44396,Online streaming,35,,Entertainment,Discretionary,Expense,Jul,7,Mon,-35
44396,Drink,5,,Coffee,Dining Out,Expense,Jul,7,Mon,-5
44397,Drink,5,,Coffee,Dining Out,Expense,Jul,7,Tue,-5
44398,Drink,5,,Coffee,Dining Out,Expense,Jul,7,Wed,-5
44398,Green's,176,,Groceries,Living Expenses,Expense,Jul,7,Wed,-176
44399,Suya,43.1,,Restaurant,Dining Out,Expense,Jul,7,Thu,-43.1
44400,Oha soup/White soup,18.2,,Restaurant,Dining Out,Expense,Jul,7,Fri,-18.2
44401,Orphanage,55,,Donation,Charity,Expense,Jul,7,Sat,-55
44401,Fuel,68.8,,Fueling,Transport,Expense,Jul,7,Sat,-68.8
44401,Drink,5,,Coffee,Dining Out,Expense,Jul,7,Sat,-5
44402,Drink,5,,Coffee,Dining Out,Expense,Jul,7,Sun,-5
44403,Drink,5,,Coffee,Dining Out,Expense,Jul,7,Mon,-5
44404,Drink,5,,Coffee,Dining Out,Expense,Jul,7,Tue,-5
44405,Drink,5,,Coffee,Dining Out,Expense,Jul,7,Wed,-5
44405,Green's,193,,Groceries,Living Expenses,Expense,Jul,7,Wed,-193
44406,Trainers,130.8,,Clothes,Discretionary,Expense,Jul,7,Thu,-130.8
44406,Home décor,181.4,,Furnishings,Discretionary,Expense,Jul,7,Thu,-181.4
44407,Fashionistas,151.2,,Clothes,Discretionary,Expense,Jul,7,Fri,-151.2
44407,Uba,29.3,,Taxi,Transport,Expense,Jul,7,Fri,-29.3
44407,Foodary,15,,Restaurant,Dining Out,Expense,Jul,7,Fri,-15
44408,Drink,5,,Coffee,Dining Out,Expense,Jul,7,Sat,-5
44410,Drink,5,,Coffee,Dining Out,Expense,Aug,8,Mon,-5
44410,Data With Decision,,5000,Data with Decision,Salary,Income,Aug,8,Mon,5000
44411,Drink,5,,Coffee,Dining Out,Expense,Aug,8,Tue,-5
44413,Estate Mangement,900,,Rent,Living Expenses,Expense,Aug,8,Thu,-900
44413,Financail upgrade,150,,Cash loan,Transport,Expense,Aug,8,Thu,-150
44413,Drink,5,,Coffee,Dining Out,Expense,Aug,8,Thu,-5
44413,Drink,5,,Coffee,Dining Out,Expense,Aug,8,Thu,-5
44414,Drink,5,,Coffee,Dining Out,Expense,Aug,8,Fri,-5
44415,Drink,5,,Coffee,Dining Out,Expense,Aug,8,Sat,-5
44415,Green's,137,,Groceries,Living Expenses,Expense,Aug,8,Sat,-137
44418,Power source,57,,Gas/Electrics,Living Expenses,Expense,Aug,8,Tue,-57
44418,Drink,5,,Coffee,Dining Out,Expense,Aug,8,Tue,-5
44419,Drink,5,,Coffee,Dining Out,Expense,Aug,8,Wed,-5
